# Constructed from biom file
#OTU ID	baseline_1	baseline_2	baseline_3	baseline_4	canola_1103_f23	canola_1103_s23	canola_112_f23	canola_112_s23	canola_603_f23	canola_603_s23	canola_707_f23	canola_707_s23	fallow_101_f23	fallow_101_s23	fallow_1112_f23	fallow_1112_s23	fallow_607_f23	fallow_607_s23	fallow_709_f23	fallow_709_s23
085a80de031d8322642c86faf61b2230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4239.0
31bf35a63b152a0ac857cd393872d6da	0.0	0.0	0.0	0.0	369.0	0.0	325.0	0.0	391.0	0.0	244.0	0.0	507.0	0.0	821.0	78.0	854.0	0.0	646.0	0.0
9cca219ac7e1d9722ab63545dc219ecd	144.0	729.0	2467.0	118.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	375.0	0.0	161.0	0.0	0.0	0.0	95.0	0.0	98.0
6d01fc68a6865fce6a080106fff19bfc	441.0	327.0	288.0	2933.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	78.0	0.0	0.0	0.0	0.0
6c8d0b13a8a87562c19862a869fb9b6d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4061.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
79029fa983ec4eda60117a273a52cfc0	0.0	0.0	0.0	0.0	115.0	64.0	21.0	250.0	35.0	40.0	28.0	29.0	38.0	0.0	277.0	2689.0	0.0	0.0	0.0	411.0
5afec052157f7768bf459883f118a638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	17.0	217.0	586.0	240.0	54.0	0.0	0.0	2702.0	155.0	0.0	0.0	0.0
df71de0e92459aa808364311135bb8fc	0.0	0.0	0.0	0.0	89.0	0.0	623.0	90.0	68.0	315.0	40.0	0.0	50.0	510.0	834.0	0.0	0.0	281.0	171.0	875.0
f617f0ce888fe9b6b91cb9069b7a11f5	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3545.0	0.0	0.0	0.0	327.0
1446fc1fa10426bc46aa1962983b8bd4	0.0	0.0	0.0	0.0	3869.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
ee6234b7dbcbef2d99bd2e6e3066e66a	0.0	0.0	0.0	0.0	0.0	39.0	0.0	162.0	24.0	0.0	87.0	584.0	34.0	0.0	0.0	0.0	0.0	2593.0	0.0	241.0
e1c7d97fe13e9127d225d76a1feb8c78	0.0	0.0	48.0	0.0	0.0	0.0	62.0	0.0	228.0	371.0	52.0	0.0	174.0	181.0	91.0	0.0	71.0	2252.0	85.0	125.0
