Feature ID	Taxon	Confidence
31bf35a63b152a0ac857cd393872d6da	d__Bacteria	0.9721435006538397
9cca219ac7e1d9722ab63545dc219ecd	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Pseudomonas_B_650453	0.9999999067920817
6d01fc68a6865fce6a080106fff19bfc	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.8622580675512405
6c8d0b13a8a87562c19862a869fb9b6d	Unassigned	0.6192126532142675
79029fa983ec4eda60117a273a52cfc0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter_487784	0.9988925576241702
5afec052157f7768bf459883f118a638	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales_B_877923; f__Flavobacteriaceae; g__Flavobacterium	0.9999999999964452
df71de0e92459aa808364311135bb8fc	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Variovorax	0.9391081746120509
f617f0ce888fe9b6b91cb9069b7a11f5	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales_B; f__Spirosomataceae; g__Dyadobacter_906046; s__Dyadobacter hamtensis	0.8028794478933947
1446fc1fa10426bc46aa1962983b8bd4	d__Bacteria	0.7698573775384036
ee6234b7dbcbef2d99bd2e6e3066e66a	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Xanthobacteraceae; g__Tardiphaga; s__Tardiphaga robiniae	0.9228000813142957
e1c7d97fe13e9127d225d76a1feb8c78	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae	0.9999999774921624
41da1f67db882e54aa2020701805031e	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Xanthobacteraceae; g__Tardiphaga; s__Tardiphaga robiniae	0.9968622668825814
10afda2baef44de4c584a6641de399b1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingomonas_L_486704	0.999964145682782
b66181a84b15aee60b1e2aa6c24dff9b	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Micromonosporaceae; g__Catenuloplanes; s__Catenuloplanes japonicus	0.7580303545109713
e2b144d71492ca35bf923816cbfd1b4b	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales_B; f__Cyclobacteriaceae; g__Chryseolinea_898797; s__	0.7361236425973067
3451ca2f91be08abaf168c5ac4341d88	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__; s__	0.9982734181021379
7c628629eb3c8862ace990b4da97897e	d__Bacteria	0.8441193223926744
ce7e5a01661fe3c5c867d6af36a4a307	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Chitinophaga; s__Chitinophaga sp900112615	0.9321347568377003
48454bd504b23d75d289a23f12faa874	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Pseudomonas_B_650453; s__Pseudomonas_B_650453 rhizoryzae	0.9409473740683869
46eb7ba78ac8400789c5541c89dd771b	d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__OMJO01; g__OMJO01; s__	0.7114711927281299
0ee6d50040be80f86189db48205efeb7	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__; s__	0.999984741424681
20a52efd3d637148f6aeaa0ec98f02e9	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__Paenibacillaceae_367444; g__Saccharibacillus; s__	0.9936913468956688
d5e939d1e52b34c6388954a8fb399005	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales_B; f__Cyclobacteriaceae; g__Chryseotalea; s__	0.9469578220069959
f3b273f5377da3d28f3e86ae96ea809d	Unassigned	0.6160646018027325
159444bc0b813da46a659d21a4d714fe	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Opitutales; f__Opitutaceae; g__Lacunisphaera; s__Lacunisphaera limnophila	0.9999558192440046
36e31371eb1ad17d4cdc37bd7cda2d41	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Mucilaginibacter_A; s__Mucilaginibacter_A rigui	0.9748009291022661
f458495b7080cea7c14a2a25433349d8	d__Bacteria	0.9845864612040538
80b1877021d234a5b668faf196a27b31	d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales; f__Phototrophicaceae	0.7244089429399975
2413cb6bb2dfa575423092d574c12002	Unassigned	0.6245047386877791
